Index,Year,Authors,Name,Bibtex,DOI,AR OST HWD,AR VST HWD,Handheld AR (Smartphone),Handheld AR (Tablet),Spatial AR (projector based),Stereoscopic Projection,CAVE,VR HWD,Smartwatch,Smartphone,Tablet,Laptop,Desktop,Projection,Large Display,Tabletop,Symmetric,Asymmetric,Remote Control,Dynamic Lens,Augmented Display,VESAD,Logical Distribution,Migratory Interface,Parallel,Serial,Exclusive,Single User,Multi-user - Shared Component,Multi-user - Indvidual Component,Near,Personal,Social,Public,Flexible,Semi-Fixed,Fixed,Unidirectional (MR-centric),Bidirectional,Unidirectional (2D-centric),Co-Located,Remote,Component-coupled,Dynamic,Free,Development/Authoring,Gaming,DataVis/Data Analysis,SciVis,Medical,Productivity,Collaboration,Entertainment,3D Object Manipulation,3D Design/Sketching,Text Entry / Annotations,Study,Other / None,Term: Hybrid UI,Term: Hybrid <other>,Term: Cross-Device,Term: Cross-Reality,Term: Multi-Device,Term: Augmented Display,Term: Transitional,Undefined,Other Terms,Empirical,Artifact,Method,Theory,Dataset,Survey,Opinion,Empirical (-),Artifact (-),Method (-),Theory (-),Dataset (-),Survey (-),Opinion (-),Informative,Demonstration,Technical Evaluation,Usage,Heuristic,No Evaluation,Edge Case
168,2011,"Nicolas Dedual, Ohan Oda, Steven Feiner",Creating hybrid user interfaces with a 2D multi-touch tabletop and a 3D see-through head-worn display,"@inproceedings{dedual2011creating,
  title = {Creating Hybrid User Interfaces with a {{2D}} Multi-Touch Tabletop and a {{3D}} See-through Head-Worn Display},
  booktitle = {2011 10th {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality}}},
  author = {Dedual, Nicolas J. and Oda, Ohan and Feiner, Steven K.},
  year = {2011},
  month = oct,
  pages = {231--232},
  doi = {10.1109/ISMAR.2011.6092391},
  abstract = {How can multiple different display and interaction devices be used together to create an effective augmented reality environment? We explore the design of several prototype hybrid user interfaces that combine a 2D multi-touch tabletop display with a 3D head-tracked video-see-through display. We describe a simple modeling application and an urban visualization tool in which the information presented on the head-worn display supplements the information displayed on the tabletop, using a variety of approaches to track the head-worn display relative to the tabletop. In all cases, our goal is to allow users who can see only the tabletop to interact effectively with users wearing head-worn displays.}
}
",10.1109/ISMAR.2011.6092391,,x,-,,,,,,,,,,,,,x,,,,,x,,,,x,,,x,,,,,x,,,,x,,,x,x,,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
181,2023,"Sze-Wing Chan, Nanjia Wang, Frank Maurer",Single User Cross Reality Workflow for Reservoir Engineering Work in Progress,"@inproceedings{chan2023single,
  title = {Single {{User Cross Reality Workflow}} for {{Reservoir Engineering Work}} in {{Progress}}},
  booktitle = {2023 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality Adjunct}} ({{ISMAR-Adjunct}})},
  author = {Chan, Sze-Wing and Wang, Nanjia and Maurer, Frank},
  year = {2023},
  month = oct,
  pages = {211--214},
  publisher = {IEEE},
  address = {Sydney, Australia},
  doi = {10.1109/ISMAR-Adjunct60411.2023.00049},
  copyright = {https://doi.org/10.15223/policy-029},
  isbn = {9798350328912}
}",10.1109/ISMAR-Adjunct60411.2023.00049,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,x,x,,,,x,,,x,,,,x,,x,,,,x,,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,x,
200,2023,"Jens Grubert, Lukas Witzani, Alexander Otte, Travis Gesslein, Matthias Kranz, Per Kristensson Ola",Text entry performance and situation awareness of a joint optical see-through head-mounted display and smartphone system,"@article{grubert2023text,
  title = {Text Entry Performance and Situation Awareness of a Joint Optical See-through Head-Mounted Display and Smartphone System},
  author = {Grubert, Jens and Witzani, Lukas and Otte, Alexander and Gesslein, Travis and Kranz, Matthias and Kristensson, Per Ola},
  year = {2023},
  journal = {IEEE Transactions on Visualization and Computer Graphics},
  pages = {1--16},
  issn = {1941-0506},
  doi = {10.1109/TVCG.2023.3309316},
  abstract = {Optical see-through head-mounted displays (OST HMDs) are a popular output medium for mobile Augmented Reality (AR) applications. To date, they lack efficient text entry techniques. Smartphones are a major text entry medium in mobile contexts but attentional demands can contribute to accidents while typing on the go. Mobile multi-display ecologies, such as combined OST HMD-smartphone systems, promise performance and situation awareness benefits over single-device use. We study the joint performance of text entry on mobile phones with text output on optical see-through head-mounted displays. A series of five experiments with a total of 86 participants indicate that, as of today, the challenges in such a joint interactive system outweigh the potential benefits.}
}",10.1109/TVCG.2023.3309316,x,,,,,,,,,x,,,,,,,,,,,,x,x,,x,x,,x,,,,x,,,,x,,,,x,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,
209,2021,"Li Zhang, Weiping He, Zhiwei Cao, Shuxia Wang, Huidong Bai, Mark Billinghurst",Simultaneous real walking and asymmetric input in virtual reality with a smartphone-based hybrid interface,"@inproceedings{zhang2021simultaneous,
  title = {Simultaneous Real Walking and Asymmetric Input in Virtual Reality with a Smartphone-Based Hybrid Interface},
  booktitle = {2021 {{IEEE}} International Symposium on Mixed and Augmented Reality Adjunct ({{ISMAR-adjunct}})},
  author = {Zhang, Li and He, Weiping and Cao, Zhiwei and Wang, Shuxia and Bai, Huidong and Billinghurst, Mark},
  year = {2021},
  month = oct,
  pages = {321--323},
  doi = {10.1109/ISMAR-Adjunct54149.2021.00072},
  abstract = {Compared to virtual navigation methods like joystick-based teleportation in Virtual Reality (VR), real walking enables more natural and realistic physical behaviors and better overall user experience. This paper presents a smartphone-based hybrid interface that combines a smartphone and a handheld controller, which enables real walking by viewing the physical environment and asymmetric 2D-3D input at the same time. The phone is virtualized in VR and streams a view of the real world to a collocated virtual screen, enabling users to avoid or remove physical obstacles. The touchscreen and the controller provide an asymmetric input choice for users to improve interaction efficiency in VR. We implemented a prototype system and conducted a pilot study to evaluate its usability.}
}",10.1109/ISMAR-Adjunct54149.2021.00072,,,,,,,,x,,x,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,x,,x,,x,,,,x,,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
230,2022,"Robbe Cools, Matt Gottsacker, Adalberto Simeone, Gerd Bruder, Greg Welch, Steven Feiner",Towards a desktop-AR prototyping framework: Prototyping cross-reality between desktops and augmented reality,"@inproceedings{cools2022desktopar,
  title = {Towards a Desktop-{{AR}} Prototyping Framework: {{Prototyping}} Cross-Reality between Desktops and Augmented Reality},
  booktitle = {2022 {{IEEE}} International Symposium on Mixed and Augmented Reality Adjunct ({{ISMAR-adjunct}})},
  author = {Cools, Robbe and Gottsacker, Matt and Simeone, Adalberto and Bruder, Gerd and Welch, Greg and Feiner, Steven},
  year = {2022},
  month = oct,
  pages = {175--182},
  issn = {2771-1110},
  doi = {10.1109/ISMAR-Adjunct57072.2022.00040},
  abstract = {Augmented reality (AR) head-worn displays (HWDs) allow users to view and interact with virtual objects anchored in the 3D space around them. These devices extend users' digital interaction space compared to traditional desktop computing environments by both allowing users to interact with a larger virtual display and by affording new interactions (e.g., intuitive 3D manipulations) with virtual content. Yet, 2D desktop displays still have advantages over AR HWDs for common computing tasks and will continue to be used well into the future. Because of their not entirely overlapping set of affordances, AR HWDs and 2D desktops may be useful in a hybrid configuration; that is, users may benefit from being able to work on computing tasks in either environment (or simultaneously in both environments) while transitioning virtual content between them. In support of such computing environments, we propose a prototyping framework for bidirectional Cross-Reality interactions between a desktop and an AR HWD. We further implemented a proof-of-concept seamless Desktop-AR display space, and describe two concrete use cases for our framework. In future work we aim to further develop our proof-of-concept into the proposed framework.}
}",10.1109/ISMAR-Adjunct57072.2022.00040,x,,,,,,,,,,,,x,,,,,,,x,,x,,,x,x,,x,,,,x,,,,x,,,x,,x,,,x,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,x,
242,2006,"Alexander Bornik, Reinhard Beichel, Ernst Kruijff, Bernhard Reitinger, Dieter Schmalstieg",A Hybrid User Interface for Manipulation of Volumetric Medical Data,"@inproceedings{bornik2006hybrid,
  title = {A {{Hybrid User Interface}} for {{Manipulation}} of {{Volumetric Medical Data}}},
  booktitle = {{{3D User Interfaces}} ({{3DUI}}'06)},
  author = {Bornik, A. and Beichel, R. and Kruijff, E. and Reitinger, B. and Schmalstieg, D.},
  year = {2006},
  month = mar,
  pages = {29--36},
  doi = {10.1109/VR.2006.8},
  abstract = {This paper presents a novel system for interactive visualization and manipulation of medical datasets for surgery planning based on a hybrid VR / Tablet PC user interface. The goal of the system is to facilitate efficient visual inspection and correction of surface models generated by automated segmentation algorithms based on x-ray computed tomography scans, needed for planning surgical interventions. Factors like the quality of the visualization, nature of the dataset and interaction efficiency strongly influence system design decisions, in particular the design of the user interface, input devices and interaction techniques, leading to a hybrid setup. Finally, a user study is presented, which characterizes the system in terms of method efficiency and usability.}
}",10.1109/VR.2006.8,,,,,,x,,,,,x,,,,,,,,,,,,x,,,x,,x,,,,x,,,,,x,,,x,x,,,,x,,,,x,x,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
244,2023,"Marium-E Jannat, Khalad Hasan",Exploring the effects of virtually-augmented display sizes on users’ spatial memory in smartwatches,"@inproceedings{jannat2023exploring,
  title = {Exploring the Effects of Virtually-Augmented Display Sizes on Users' Spatial Memory in Smartwatches},
  booktitle = {2023 {{IEEE}} International Symposium on Mixed and Augmented Reality ({{ISMAR}})},
  author = {Jannat, Marium-E and Hasan, Khalad},
  year = {2023},
  month = oct,
  pages = {553--562},
  issn = {2473-0726},
  doi = {10.1109/ISMAR59233.2023.00070},
  abstract = {The small display size of the smartwatches makes it difficult to display large amounts of information on the device. Prior work explored leveraging a second device (e.g., Head-mounted displays) to extend the space where users can access large information space with virtual displays anchored on their wrists. Though researchers showed that having an additional virtual screen increased information bandwidth, little is known about the effect of virtual display sizes on users' performance. In this paper, we examined the impact of display sizes on spatial memory, workload, and user experience to better understand the prospects of virtually-augmented displays for smartwatches. Results from a user study revealed that a 4.8 inches display size can be the ``sweet spot'' for the virtually-augmented displays to ensure improved spatial memory performance and better user experience with less workload. Finally, we provided a set of design guidelines focusing to display size, spatial memory, user experience, and workload for designing virtually augmented user interfaces for smartwatches.}
}",10.1109/ISMAR59233.2023.00070,,x,,,,,,,x,,,,,,,,,,,,,x,,,x,,,x,,,x,,,,,x,,,,x,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,,
262,2024,"Eric Gonzalez, Khushman Patel, Karan Ahuja, Mar Gonzalez-Franco",XDTK: a cross-device toolkit for input & interaction in XR,"@inproceedings{gonzalez2024xdtk,
  title = {{{XDTK}}: A Cross-Device Toolkit for Input \& Interaction in {{XR}}},
  booktitle = {2024 {{IEEE}} Conference on Virtual Reality and {{3D}} User Interfaces Abstracts and Workshops ({{VRW}})},
  author = {Gonzalez, Eric J. and Patel, Khushman and Ahuja, Karan and {Gonzalez-Franco}, Mar},
  year = {2024},
  month = mar,
  pages = {467--470},
  doi = {10.1109/VRW62533.2024.00092},
  abstract = {We present XDTK, an open-source Unity/Android toolkit for proto-typing multi-device interactions in extended reality (XR). With the Unity package and Android app provided in XDTK, data from any number of devices (phones, tablets, or wearables) can be streamed to and surfaced within a Unity-based XR application. ARCore-supported device also provide self-tracked pose data. Devices on the same local network are automatically discovered by the Unity server and their inputs are routed using a custom event framework. We designed XDTK to be modular and easily extendable to enable fast, simple, and effective prototyping of multi-device experiences by both researchers and developers.}
}",10.1109/VRW62533.2024.00092,-,x,-,-,,,,-,x,x,x,-,,,,,-,-,x,-,-,-,x,-,x,x,,x,x,-,x,x,-,-,-,-,-,,-,x,x,,-,-,x,x,,,,,,,,,,,,,,,x,,x,,,,,,x,,,,,,,,-,,,,,,,,,,x,
263,2005,"Hrvoje Benko, Edward W. Ishak, Steven Feiner",Cross-dimensional gestural interaction techniques for hybrid immersive environments,"@inproceedings{benko2005crossdimensional,
  title = {Cross-Dimensional Gestural Interaction Techniques for Hybrid Immersive Environments},
  booktitle = {{{IEEE}} Proceedings. {{VR}} 2005. {{Virtual}} Reality, 2005.},
  author = {Benko, H. and Ishak, E.W. and Feiner, S.},
  year = {2005},
  month = mar,
  pages = {209--216},
  issn = {2375-5334},
  doi = {10.1109/VR.2005.1492776},
  abstract = {We present a set of cross-dimensional interaction techniques for a hybrid user interface that integrates existing 2D and 3D visualization and interaction devices. Our approach is built around one-and two-handed gestures that support the seamless transition of data between co-located 2D and 3D contexts. Our testbed environment combines a 2D multi-user, multi-touch, projection surface with 3D head-tracked, see-through, head-worn displays and 3D tracked gloves to form a multi-display augmented reality. We address some of the ways in which we can interact with private data in a collaborative, heterogeneous workspace. We also report on a pilot usability study to evaluate the effectiveness and ease of use of the cross-dimensional interactions.}
}",10.1109/VR.2005.1492776,x,,,,,,,,,,,,x,,,x,,,,,,,x,,x,,,,x,,,x,x,,,,x,,x,,x,,,x,,,,,x,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
266,2020,"Tanner Hobson, Jeremiah Duncan, Mohammad Raji, Aidong Lu, Jian Huang",Alpaca: AR graphics extensions for web applications,"@inproceedings{hobson2020alpaca,
  title = {Alpaca: {{AR}} Graphics Extensions for Web Applications},
  booktitle = {2020 {{IEEE}} Conference on Virtual Reality and {{3D}} User Interfaces ({{VR}})},
  author = {Hobson, Tanner and Duncan, Jeremiah and Raji, Mohammad and Lu, Aidong and Huang, Jian},
  year = {2020},
  month = mar,
  pages = {174--183},
  issn = {2642-5254},
  doi = {10.1109/VR46266.2020.00036},
  abstract = {In this work, we propose a framework to simplify the creation of Augmented Reality (AR) extensions for web applications, without modifying the original web applications. We implemented the framework in an open source package called Alpaca. AR extensions developed using Alpaca appear as a web-browser extension, and automatically bridge the Document Object Model (DOM) of the web with the SceneGraph model of AR. To transform the web application into a multi-device, mixed-space web application, we designed a restrictive and minimized interface for cross-device event handling. We demonstrate our approach to develop mixed-space applications using three examples. These applications are, respectively, for exploring Google Books, exploring biodiversity distribution hosted by the National Park Service of the United States, and exploring YouTube's recommendation engine. The first two cases show how a 3rd-party developer can create AR extensions without making any modifications to the original web applications. The last case serves as an example of how to create AR extensions when a developer creates a web application from scratch. Alpaca works on the iPhone X, the Google Pixel, and the Microsoft HoloLens.}
}",10.1109/VR46266.2020.00036,-,,x,,,,,,,,,x,,,,,,,,,,,x,,,x,,x,,,,x,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,x,,,,
275,2014,"Hiroyuki Kawakita, Toshio Nakagawa",Augmented TV: An augmented reality system for TV programs beyond the TV screen,"@inproceedings{kawakita2014augmented,
  title = {Augmented {{TV}}: {{An}} Augmented Reality System for {{TV}} Programs beyond the {{TV}} Screen},
  booktitle = {2014 International Conference on Multimedia Computing and Systems ({{ICMCS}})},
  author = {Kawakita, Hiroyuki and Nakagawa, Toshio},
  year = {2014},
  month = apr,
  pages = {955--960},
  doi = {10.1109/ICMCS.2014.6911158},
  abstract = {TV Service using a mobile device as a second screen has been increasing. We propose a new TV system which is able to augment representation of TV programs beyond the TV screen. In the system, which we named augmented TV, since animated 3DCG content interlocked with TV programs is overlaid on live video from the mobile device camera in the mobile device screen by augmented reality techniques, the representation of having a TV character coming out of the screen can be provided. To achieve the representation giving such surprise or reality to the viewer, synchronization accuracy of the overlay display is required. A conventional synchronization method for multi-device or a visible light communication method does not meet the requirement of the accuracy. Therefore, we developed an accurate synchronization method and authoring environment of augmented TV content. We implemented augmented TV, and confirmed frame-accurate synchronization (synchronization error time is about 0.03 seconds or less). And we confirmed that the authoring environment is easy to produce augmented TV content using a video clip using a 3DCG character with TV program quality.}
}",10.1109/ICMCS.2014.6911158,,,,x,,,,,,,,,,,x,,,,,,x,,x,,x,,,x,,,,x,x,,,x,,,,x,x,,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,
281,2023,"Sunyoung Bang, Woontack Woo",Enhancing the reading experience on AR hmds by using smartphones as assistive displays,"@inproceedings{bang2023enhancing,
  title = {Enhancing the Reading Experience on {{AR}} Hmds by Using Smartphones as Assistive Displays},
  booktitle = {2023 {{IEEE}} Conference Virtual Reality and {{3D}} User Interfaces ({{VR}})},
  author = {Bang, Sunyoung and Woo, Woontack},
  year = {2023},
  month = mar,
  pages = {378--386},
  issn = {2642-5254},
  doi = {10.1109/VR55154.2023.00053},
  abstract = {The reading experience on current augmented reality (AR) head mounted displays (HMDs) is often impeded by the devices' low perceived resolution, translucency, and small field of view, especially in situations involving lengthy text. Although many researchers have proposed methods to resolve this issue, the inherent characteristics prevent these displays from delivering a readability on par with that of more traditional displays. As a solution, we explore the use of smartphones as assistive displays to AR HMDs. To validate the feasibility of our approach, we conducted a user study in which we compared a smartphone-assisted hybrid interface against using the HMD only for two different text lengths. The results demonstrate that the hybrid interface yields a lower task load regardless of the text length, although it does not improve task performance. Furthermore, the hybrid interface provides a better experience regarding user comfort, visual fatigue, and perceived readability. Based on these results, we claim that joining the spatial output capabilities of the HMD with the high-resolution display of the smartphone is a viable solution for improving the reading experience in AR.}
}",10.1109/VR55154.2023.00053,x,,,,,,,,,x,,,,,,,,,,,,,x,,x,x,,x,,,,x,,,,x,,,x,,x,,,,x,,,,,,,,,,,x,,,x,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,
293,2018,"Carmine Elvezio, Pierre Amelot, Robert Boyle, Catherine Wes Ilona, Steven Feiner",Hybrid uis for music exploration in AR and VR,"@inproceedings{elvezio2018hybrid,
  title = {Hybrid Uis for Music Exploration in {{AR}} and {{VR}}},
  booktitle = {2018 {{IEEE}} International Symposium on Mixed and Augmented Reality Adjunct ({{ISMAR-adjunct}})},
  author = {Elvezio, Carmine and Amelot, Pierre and Boyle, Robert and Wes, Catherine Ilona and Feiner, Steven},
  year = {2018},
  month = oct,
  pages = {411--412},
  doi = {10.1109/ISMAR-Adjunct.2018.00121},
  abstract = {We present hybrid user interfaces that facilitate interaction with music content in 3D, using a combination of 2D and 3D input and display devices. Participants will explore an online music library, some wearing AR or VR head-worn displays used alone or in conjunction with touch screens, and others using only touch screens. They will select genres, artists, albums and songs, interacting through a combination of 3D hand-tracking and 2D multi-touch technologies.}
}",10.1109/ISMAR-Adjunct.2018.00121,x,,,,,,,x,,,,,,,,x,,,,,x,,,,x,x,,x,,,,x,,,,x,,,x,,x,,x,,,,,,,,,,x,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
294,2024,"Akira Kanaoka, Takamasa Isohara",Enhancing smishing detection in AR environments: Cross-device solutions for seamless reality,"@inproceedings{kanaoka2024enhancing,
  title = {Enhancing Smishing Detection in {{AR}} Environments: {{Cross-device}} Solutions for Seamless Reality},
  booktitle = {2024 {{IEEE}} Conference on Virtual Reality and {{3D}} User Interfaces Abstracts and Workshops ({{VRW}})},
  author = {Kanaoka, Akira and Isohara, Takamasa},
  year = {2024},
  month = mar,
  pages = {565--572},
  doi = {10.1109/VRW62533.2024.00108},
  abstract = {Amidst the evolving landscape where cyber and physical realms seamlessly intertwine, smishing (SMS phishing) emerges as a so-phisticated security threat. This paper introduces a novel cross-device solution for detecting smishing attacks in augmented reality (AR) environments. Our method uses AR glasses to enhance user perception and interaction by analyzing images of URLs displayed across various devices, including smartphones, laptops, and digital displays. This approach aligns with the ``Seamless Reality'' concept, integrating physical and cyber space perception, cognition, and interaction. We detail the development of a prototype system and present findings from a user study that evaluates its effectiveness in a diverse range of AR settings. Our results underscore the potential of AR technologies in smishing detection, contributing to a safer interaction between virtual and real-world elements. The study also delves into aspects of AR display systems, user interface design, and the integration of haptic feedback, offering insights into the broader implications for seamless AR experiences.}
}",10.1109/VRW62533.2024.00108,x,,,,,,,,,x,,,x,,,,,,,,,,x,,x,,,x,,,,x,,,,x,,,,x,x,,,,x,,,,,,,,,,,,,x,,,x,,,,,,,,x,,,,,,-,,,,,,,,x,,,,,
298,1999,"Andreas Butz, Tobias Höllerer, Steven Feiner, Blair MacIntyre, Clifford Beshers",Enveloping users and computers in a collaborative 3D augmented reality,"@inproceedings{butz1999enveloping,
  title = {Enveloping Users and Computers in a Collaborative {{3D}} Augmented Reality},
  booktitle = {Proceedings 2nd {{IEEE}} and {{ACM}} International Workshop on Augmented Reality ({{IWAR}}'99)},
  author = {Butz, A. and Hollerer, T. and Feiner, S. and MacIntyre, B. and Beshers, C.},
  year = {1999},
  month = oct,
  pages = {35--44},
  doi = {10.1109/IWAR.1999.803804},
  abstract = {We present EMMIE (Environment Management for Multiuser Information Environments), a prototype experimental user interface to a collaborative augmented environment. Users share a 3D virtual space and manipulate virtual objects that represent information to be discussed. We refer to EMMIE as a hybrid user interface because it combines a variety of different technologies and techniques, including virtual elements such as 3D widgets, and physical objects such as tracked displays and input devices. See-through head-worn displays overlay the virtual environment on the physical environment, visualizing the pervasive ""virtual ether"" within which all interaction occurs. Our prototype includes additional 2D and 3D displays, ranging from palm-sized to wall-sized, allowing the most appropriate one to be used for any task. Objects can be moved among displays (including across dimensionalities) through drag-and-drop. In analogy to 2D window managers, we describe a prototype implementation of a shared 3D environment manager that is distributed across displays, machines, and operating systems. We also discuss two methods we are exploring for handling information privacy in such an environment.}
}",10.1109/IWAR.1999.803804,x,,,,,,,,,,x,x,x,x,,,,x,,,x,,x,,x,,,,x,,,,x,,,x,,,x,,x,,,x,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
334,2012,"Felipe Carvalho, Daniela Trevisan, Alberto Raposo",Toward the design of transitional interfaces: an exploratory study on a semi-immersive hybrid user interface,"@article{carvalho2012design,
  title = {Toward the Design of Transitional Interfaces: An Exploratory Study on a Semi-Immersive Hybrid User Interface},
  shorttitle = {Toward the Design of Transitional Interfaces},
  author = {Carvalho, Felipe G. and Trevisan, Daniela G. and Raposo, Alberto},
  year = {2012},
  month = nov,
  journal = {Virtual Reality},
  volume = {16},
  number = {4},
  pages = {271--288},
  issn = {1434-9957},
  doi = {10.1007/s10055-011-0205-y},
  abstract = {A task that can be decomposed into subtasks with different technological demands may be a challenge, since it requires multiple interactive environments as well as transitions between them. Some of these transitions may involve changes in hardware devices and interface paradigms at the same time. Some previous works have proposed various setups for hybrid user interfaces, but none of them focused on the design of transition interactions. Our work emphasizes the importance of interaction continuity as a guideline in the design and evaluation of transitional interfaces within a hybrid user interface (HUI). Finally, an exploratory study demonstrates how this design aspect is perceived by users during transitions in an HUI composed by three interactive environments.},
  langid = {english}
}",10.1007/s10055-011-0205-y,,,,,,,x,,,,,,x,,,,,,,,,,,x,,x,,x,,,,x,,,,,x,,x,,x,,,x,,,,,,,,,,,x,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,
348,2023,"Robin Fischer, Wei-Xiang Lian, Shiann-Jang Wang, Wei-En Hsu, Li-Chen Fu",Seamless Virtual Object Transitions: Enhancing User Experience in Cross-Device Augmented Reality Environments,"@incollection{fischer2023seamless,
  title = {Seamless {{Virtual Object Transitions}}: {{Enhancing User Experience}} in {{Cross-Device Augmented Reality Environments}}},
  shorttitle = {Seamless {{Virtual Object Transitions}}},
  booktitle = {Extended {{Reality}}},
  author = {Fischer, Robin and Lian, Wei-Xiang and Wang, Shiann-Jang and Hsu, Wei-En and Fu, Li-Chen},
  editor = {De Paolis, Lucio Tommaso and Arpaia, Pasquale and Sacco, Marco},
  year = {2023},
  volume = {14218},
  pages = {397--409},
  publisher = {Springer Nature Switzerland},
  address = {Cham},
  doi = {10.1007/978-3-031-43401-3_26},
  isbn = {978-3-031-43400-6 978-3-031-43401-3},
  langid = {english}
}",10.1007/978-3-031-43401-3_26,x,,,,,,,,,-,,,,x,,,,,,,x,,,,,x,,x,,,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,x,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,
351,2021,"Patrick Reipschläger, Tamara Flemisch, Raimund Dachselt",Personal Augmented Reality for Information Visualization on Large Interactive Displays,"@article{reipschlager2021personal,
  title = {Personal {{Augmented Reality}} for {{Information Visualization}} on {{Large Interactive Displays}}},
  author = {Reipschl{\""a}ger, Patrick and Flemisch, Tamara and Dachselt, Raimund},
  year = {2021},
  journal = {IEEE Transactions on Visualization and Computer Graphics},
  volume = {27},
  number = {2},
  pages = {1182--1192},
  issn = {1941-0506},
  doi = {10.1109/TVCG.2020.3030460}
}",10.1109/TVCG.2020.3030460,x,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,x,x,,,,x,,,x,,,,x,x,,x,,,,,x,,,,,,,,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,x,,,,,
352,1999,"Jun Rekimoto, Masanori Saitoh",Augmented surfaces: a spatially continuous work space for hybrid computing environments,"@article{rekimoto1999augmented,
  title = {Augmented Surfaces: A Spatially Continuous Work Space for Hybrid Computing Environments},
  author = {Rekimoto, J and Saitoh, M},
  year = {1999},
  journal = {Proceedings of the SIGCHI conference on Human {\dots}},
  publisher = {dl.acm.org},
  doi = {10.1145/302979.303113},
  abstract = {This paper describes our design and implementation of a computer augmented environment that allows users to smoothly interchange digital information among their portable {\dots}},
  note+duplicate-1 = {Query date: 2024-06-17 08:22:08}
}",10.1145/302979.303113,,,,,x,,,,,,,x,,x,,,,,,,,,x,,x,,,,x,x,,x,x,,,x,,,,x,x,,,x,,,,,,,,x,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,
353,2022,"Sebastian Hubenschmid, Jonathan Wieland, Daniel Fink Immanuel, Andrea Batch, Johannes Zagermann, Niklas Elmqvist, Harald Reiterer",ReLive: Bridging In-Situ and Ex-Situ Visual Analytics for Analyzing Mixed Reality User Studies,"@inproceedings{hubenschmid2022relive,
  title = {{{ReLive}}: {{Bridging In-Situ}} and {{Ex-Situ Visual Analytics}} for {{Analyzing Mixed Reality User Studies}}},
  shorttitle = {{{ReLive}}},
  booktitle = {Proceedings of the 2022 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Hubenschmid, Sebastian and Wieland, Jonathan and Fink, Daniel Immanuel and Batch, Andrea and Zagermann, Johannes and Elmqvist, Niklas and Reiterer, Harald},
  year = {2022},
  month = apr,
  series = {{{CHI}} '22},
  pages = {1--20},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3491102.3517550},
  abstract = {The nascent field of mixed reality is seeing an ever-increasing need for user studies and field evaluation, which are particularly challenging given device heterogeneity, diversity of use, and mobile deployment. Immersive analytics tools have recently emerged to support such analysis in situ, yet the complexity of the data also warrants an ex-situ analysis using more traditional non-immersive visual analytics setups. To bridge the gap between both approaches, we introduce ReLive: a mixed-immersion visual analytics framework for exploring and analyzing mixed reality user studies. ReLive combines an in-situ virtual reality view with a complementary ex-situ desktop view. While the virtual reality view allows users to relive interactive spatial recordings replicating the original study, the synchronized desktop view provides a familiar interface for analyzing aggregated data. We validated our concepts in a two-step evaluation consisting of a design walkthrough and an empirical expert user study.},
  isbn = {978-1-4503-9157-3}
}",10.1145/3491102.3517550,,,,,,,,x,,,,,x,,,,,x,,,,,x,x,,,x,x,,,,x,,,x,,,,x,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,x,,,x,,,
